sec,secHelpText,group_id,rst_ID,rst_RecTypeID,rst_DetailTypeID,rst_DisplayName,rst_DisplayHelpText,rst_DisplayExtendedDescription,rst_DisplayOrder,rst_DisplayWidth,rst_DisplayHeight,rst_DefaultValue,rst_RecordMatchOrder,rst_CalcFunctionID,rst_CalcFieldMask,rst_RequirementType,rst_NonOwnerVisibility,rst_Status,rst_MayModify,rst_OriginatingDBID,rst_IDInOriginatingDB,rst_MaxValues,rst_MinValues,rst_InitialRepeats,rst_DisplayDetailTypeGroupID,rst_FilteredJsonTermIDTree,rst_PtrFilteredIDs,rst_CreateChildIfRecPtr,rst_PointerMode,rst_PointerBrowseFilter,rst_OrderForThumbnailGeneration,rst_TermIDTreeNonSelectableIDs,rst_ShowDetailCertainty,rst_ShowDetailAnnotation,rst_NumericLargestValueUsed,rst_EntryMask,rst_Modified,rst_LocallyModified,rst_SemanticReferenceURL,rst_TermsAsButtons,rty_ID,rty_Name,rty_OrderInGroup,rty_Description,rty_TitleMask,rty_CanonicalTitleMask,rty_Plural,rty_Status,rty_OriginatingDBID,rty_NameInOriginatingDB,rty_IDInOriginatingDB,rty_NonOwnerVisibility,rty_ShowInLists,rty_RecTypeGroupID,rty_RecTypeModelIDs,rty_FlagAsFieldset,rty_ReferenceURL,rty_AlternativeRecEditor,rty_Type,rty_ShowURLOnEditForm,rty_ShowDescriptionOnEditForm,rty_Modified,rty_LocallyModified,dty_ID,dty_Name,dty_Documentation,dty_Type,dty_HelpText,dty_ExtendedDescription,dty_EntryMask,dty_Status,dty_OriginatingDBID,dty_NameInOriginatingDB,dty_IDInOriginatingDB,dty_DetailTypeGroupID,dty_OrderInGroup,dty_JsonTermIDTree,dty_TermIDTreeNonSelectableIDs,dty_PtrTargetRectypeIDs,dty_FieldSetRectypeID,dty_ShowInLists,dty_NonOwnerVisibility,dty_Modified,dty_LocallyModified,dty_SemanticReferenceURL,trm_TreeID,trm_Label,trm_Description,n_vocabTerms,vocabTerms
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3837,126,57,Label Components,Data fields that also help human users search for and recognize this record in the database.,,0,100,3,tabs,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-09-05 16:53:46,0,,false,126,digitization,0,Digital document visually representing a physical document or archival item.,"[1338.rectitle], [1304]",160,digitizations,open,0,digitization,126,viewable,true,23,,false,,,normal,false,true,2024-10-04 13:37:28,false,57,Header 1,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 1,57,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3839,126,1304,URI,"Unique Resource Identifier (aka URL) for the digital document, which must contain a series of digital images.",,1,60,3,,0,,,required,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-09-05 16:55:20,0,,false,126,digitization,0,Digital document visually representing a physical document or archival item.,"[1338.rectitle], [1304]",160,digitizations,open,0,digitization,126,viewable,true,23,,false,,,normal,false,true,2024-10-04 13:37:28,false,1304,URI,Please document the nature of this detail type (field)) ...,freetext,"Unique Resource Identifier (aka URL) for the digital document, which must contain a series of digital images.",,,open,0,URI,1304,1,0,,[],[],,true,viewable,2024-09-05 16:55:20,false,,,,,,
Label Components,Data fields that also help human users search for and recognize this record in the database.,1,3908,126,1338,digitization_of,Document.,,2,100,3,,0,,,required,public,open,open,0,,0,0,1,,,,false,dropdown_add,,,,false,false,,,2025-01-13 16:25:19,0,,false,126,digitization,0,Digital document visually representing a physical document or archival item.,"[1338.rectitle], [1304]",160,digitizations,open,0,digitization,126,viewable,true,23,,false,,,normal,false,true,2024-10-04 13:37:28,false,1338,digitization_of,Please document the nature of this detail type (field)) ...,resource,Document.,,,open,0,digitization_of,1338,1,0,,[],[106],,true,viewable,2024-10-04 13:31:43,false,,,,,,
Description,Data fields about the general description of the entity.,2,3838,126,58,Description,Data fields about the general description of the entity.,,3,100,3,tabs,0,,,optional,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2024-09-06 08:59:59,0,,false,126,digitization,0,Digital document visually representing a physical document or archival item.,"[1338.rectitle], [1304]",160,digitizations,open,0,digitization,126,viewable,true,23,,false,,,normal,false,true,2024-10-04 13:37:28,false,58,Header 2,Please document the nature of this detail type (field)) ...,separator, ,,,open,2,Header 2,58,139,0,,[],[],0,false,viewable,2021-12-31 05:59:44,true,,,,,,
Description,Data fields about the general description of the entity.,2,3957,126,1266,is_deprecated,Whether the digitization is deprecated (True) or not (False).,,4,100,3,9483,0,,,required,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2026-01-26 16:07:16,0,,false,126,digitization,0,Digital document visually representing a physical document or archival item.,"[1338.rectitle], [1304]",160,digitizations,open,0,digitization,126,viewable,true,23,,false,,,normal,false,true,2024-10-04 13:37:28,false,1266,is_unobserved,Please document the nature of this detail type (field)) ...,enum,Whether the entity is attested (True) in a hypothesis or whether it is received as fact that it exists or existed (False).,,,open,0,is_hypothetical,1266,1,0,9481,[],[],,true,viewable,2024-10-01 14:56:27,false,,9481,yes/no/maybe vocab,,4,"{Yes={'description': NULL, 'url': NULL, 'id': 9482}, No={'description': NULL, 'url': NULL, 'id': 9483}, Maybe={'description': NULL, 'url': NULL, 'id': 9484}, unknown={'description': The information is not ready to be input., 'url': NULL, 'id': 9770}}"
Description,Data fields about the general description of the entity.,2,3842,126,1306,IIIF,"If encoded according to IIIF standards, a URI linking to the file of a IIIF manifest.",,5,60,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2026-01-26 15:45:26,0,,false,126,digitization,0,Digital document visually representing a physical document or archival item.,"[1338.rectitle], [1304]",160,digitizations,open,0,digitization,126,viewable,true,23,,false,,,normal,false,true,2024-10-04 13:37:28,false,1306,IIIF,Please document the nature of this detail type (field)) ...,freetext,"If encoded according to IIIF standards, a URI linking to the file of a IIIF manifest.",,,open,0,IIIF,1306,1,0,,[],[],,true,viewable,2024-09-05 16:57:14,false,,,,,,
Description,Data fields about the general description of the entity.,2,3840,126,1271,ARK,Archival Resource Key for the item or notice in the archival institution\'s catalogue / system.,,6,100,3,,0,,,recommended,public,open,open,0,,1,0,1,,,,false,dropdown_add,,,,false,false,,,2026-01-26 15:45:26,0,,false,126,digitization,0,Digital document visually representing a physical document or archival item.,"[1338.rectitle], [1304]",160,digitizations,open,0,digitization,126,viewable,true,23,,false,,,normal,false,true,2024-10-04 13:37:28,false,1271,ARK,Please document the nature of this detail type (field)) ...,freetext,"Archival Resource Key for the item or notice in the archival institution\'s catalogue / system.<br><a target=\""_blank\"" href=\""https://www.wikidata.org/wiki/Property:P8091\"">P8091</a>",,,open,0,ARK,1271,1,0,,[],[],,true,viewable,2024-10-15 11:10:47,false,,,,,,
